"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
567,NA,NA,15235.398,15238.065,15380.665,15385.865,NA,NA,NA,NA,NA,NA
568,NA,NA,15238.098,15238.132,15386.132,15386.198,NA,NA,NA,NA,NA,NA
569,NA,NA,15238.265,15238.332,15386.765,15387.332,NA,NA,NA,NA,NA,NA
570,NA,NA,15238.465,15238.498,15389.265,15389.532,NA,NA,NA,NA,NA,NA
571,NA,NA,15238.798,15239.332,15392.032,15394.765,NA,NA,NA,NA,NA,NA
572,NA,NA,15239.398,15239.465,15394.832,15397.332,NA,NA,NA,NA,NA,NA
573,NA,NA,15239.498,15252.965,15402.865,15402.932,NA,NA,NA,NA,NA,NA
574,NA,NA,15252.998,15253.298,15407.065,15408.198,NA,NA,NA,NA,NA,NA
575,NA,NA,15254.198,15254.298,15439.898,15441.265,NA,NA,NA,NA,NA,NA
576,NA,NA,15263.165,15264.432,15441.332,15441.398,NA,NA,NA,NA,NA,NA
577,NA,NA,15267.165,15267.765,15442.565,15479.898,NA,NA,NA,NA,NA,NA
578,NA,NA,15272.265,15297.432,15483.765,15497.365,NA,NA,NA,NA,NA,NA
579,NA,NA,15297.498,15297.598,15550.132,15550.798,NA,NA,NA,NA,NA,NA
580,NA,NA,15304.632,15305.065,15550.865,15551.032,NA,NA,NA,NA,NA,NA
581,NA,NA,15305.132,15306.198,15552.832,15554.632,NA,NA,NA,NA,NA,NA
582,NA,NA,15306.432,15308.065,15554.865,15554.932,NA,NA,NA,NA,NA,NA
583,NA,NA,15308.132,15308.198,15555.498,15555.632,NA,NA,NA,NA,NA,NA
584,NA,NA,15309.832,15314.165,15555.798,15555.832,NA,NA,NA,NA,NA,NA
585,NA,NA,15317.765,15320.365,15555.965,15560.765,NA,NA,NA,NA,NA,NA
586,NA,NA,15320.765,15322.298,15562.165,15563.965,NA,NA,NA,NA,NA,NA
587,NA,NA,15326.365,15330.232,15566.398,15566.432,NA,NA,NA,NA,NA,NA
588,NA,NA,15334.898,15336.298,15743.732,15744.398,NA,NA,NA,NA,NA,NA
589,NA,NA,15336.498,15336.565,15789.132,15789.232,NA,NA,NA,NA,NA,NA
590,NA,NA,15336.832,15337.098,15791.132,15792.198,NA,NA,NA,NA,NA,NA
591,NA,NA,15337.165,15337.298,15792.732,15794.132,NA,NA,NA,NA,NA,NA
592,NA,NA,15338.898,15341.498,15795.265,15797.232,NA,NA,NA,NA,NA,NA
593,NA,NA,15342.165,15342.198,15797.265,15798.965,NA,NA,NA,NA,NA,NA
594,NA,NA,15342.898,15342.965,15798.998,15799.832,NA,NA,NA,NA,NA,NA
595,NA,NA,15343.998,15345.732,15800.465,15800.498,NA,NA,NA,NA,NA,NA
596,NA,NA,15345.798,15349.798,15806.632,15806.832,NA,NA,NA,NA,NA,NA
597,NA,NA,15351.398,15352.465,15806.965,15806.998,NA,NA,NA,NA,NA,NA
598,NA,NA,15352.732,15353.265,15807.065,15807.298,NA,NA,NA,NA,NA,NA
599,NA,NA,15353.332,15353.398,15809.498,15809.532,NA,NA,NA,NA,NA,NA
600,NA,NA,15355.665,15356.665,15809.632,15809.765,NA,NA,NA,NA,NA,NA
601,NA,NA,15356.798,15356.932,15809.932,15810.365,NA,NA,NA,NA,NA,NA
602,NA,NA,15357.332,15358.465,15810.465,15810.632,NA,NA,NA,NA,NA,NA
603,NA,NA,15371.265,15371.665,15816.032,15821.898,NA,NA,NA,NA,NA,NA
604,NA,NA,15371.732,15372.198,15823.065,15823.165,NA,NA,NA,NA,NA,NA
605,NA,NA,15380.065,15380.665,15823.665,15824.798,NA,NA,NA,NA,NA,NA
606,NA,NA,15385.865,15386.132,15880.665,15880.732,NA,NA,NA,NA,NA,NA
607,NA,NA,15386.198,15386.765,15881.565,15881.598,NA,NA,NA,NA,NA,NA
608,NA,NA,15387.332,15389.265,15882.298,15882.365,NA,NA,NA,NA,NA,NA
