"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
125,624.6,626.467,6525.933,6527.3,3062.467,3066.367,3449.133,3449.333,635.067,635.867,NA,NA,NA,NA
126,627.067,627.267,6528.367,6529.967,3081.733,3109.4,3449.5,3449.8,636.334,640.734,NA,NA,NA,NA
127,627.334,627.6,6529.967,6531.267,3125.233,3129.533,3451.3,3455.133,640.934,651.8,NA,NA,NA,NA
128,627.734,628.467,6531.333,6531.733,3166.8,3167.133,3456,3456.367,652.134,654.134,NA,NA,NA,NA
129,628.6,629.6,6537.033,6537.4,3192.167,3192.833,3507.533,3507.567,654.934,655.067,NA,NA,NA,NA
130,629.667,630.667,6542.867,6543.333,3199.667,3205.7,3508.033,3508.467,655.534,655.6,NA,NA,NA,NA
131,630.8,632.4,6557.633,6558.133,3205.933,3205.967,3508.6,3509.967,655.734,658.067,NA,NA,NA,NA
132,632.467,632.6,6560.867,6564.1,3206.267,3206.5,3510.633,3510.7,658.134,659.467,NA,NA,NA,NA
133,633.4,634.6,6617.367,6617.7,3287.1,3289.1,3510.8,3514.833,659.6,660.4,NA,NA,NA,NA
134,635,635.067,6713,6717.933,3299.467,3300.167,3518.733,3518.867,660.467,660.8,NA,NA,NA,NA
135,635.867,636.334,6718.267,6718.3,3301,3317.933,3518.933,3523.2,661.134,661.267,NA,NA,NA,NA
136,640.734,640.934,6718.9,6721.767,3328.733,3328.867,3542.833,3543.067,667.8,667.934,NA,NA,NA,NA
137,651.8,652.134,6724.667,6727.433,3328.933,3368.033,3565.667,3565.7,668.867,669.067,NA,NA,NA,NA
138,654.134,654.934,6747.6,6747.933,3368.4,3368.533,3566,3566.633,671.2,671.6,NA,NA,NA,NA
139,655.067,655.534,6783.2,6783.6,3371.633,3372.3,3953.267,3958.7,671.734,672.067,NA,NA,NA,NA
140,655.6,655.734,6809,6809.967,3372.833,3373.5,3959.333,3962.8,672.2,672.267,NA,NA,NA,NA
141,658.067,658.134,6848.133,6848.5,3375.233,3375.333,3962.9,3963.067,672.734,672.8,NA,NA,NA,NA
142,659.467,659.6,6872.633,6877.7,3375.367,3375.4,3970.333,3971.233,675.067,675.534,NA,NA,NA,NA
143,660.4,660.467,6898.767,6901.7,3375.533,3384.6,3976.233,3976.367,676,676.134,NA,NA,NA,NA
144,660.8,661.134,6907.2,6920.067,3385,3385.167,3976.833,3978.3,676.334,676.4,NA,NA,NA,NA
145,661.267,667.8,6932.767,6937.8,3394.333,3395.7,3984.567,3984.633,677.134,677.467,NA,NA,NA,NA
146,667.934,668.867,6942.967,6955.2,3400.9,3424.8,3984.7,3986.433,678.2,683.734,NA,NA,NA,NA
147,669.067,671.2,10160.133,10208.8,3424.9,3425.7,4092.733,4093.367,725.6,725.667,NA,NA,NA,NA
148,671.6,671.734,10273.3,10276.9,3426.433,3426.5,4094.1,4094.267,725.767,725.967,NA,NA,NA,NA
149,672.067,672.2,11675.566,11704.9,3427.633,3427.7,4094.367,4094.767,726.267,726.434,NA,NA,NA,NA
150,672.267,672.734,11855.2,11856.1,3433.567,3442.133,4094.9,4095.167,728.567,728.667,NA,NA,NA,NA
151,672.8,675.067,12115.566,12117,3442.5,3443.167,4095.267,4095.633,735.167,735.3,NA,NA,NA,NA
152,675.534,676,12233.9,12234.033,3444.067,3447.867,4177.5,4177.633,773.7,773.767,NA,NA,NA,NA
153,676.134,676.334,12236.266,12238.266,3448.067,3449.133,4224.333,4225.833,775.067,775.467,NA,NA,NA,NA
