"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
173,9335.399,9363.632,2495.4,2496.4,2496.4,2496.966,8851.332,8851.665,9404.132,9404.165,NA,NA
174,9380.465,9388.899,2496.966,2497.033,2497.033,2505.666,8852.965,8853.065,9404.599,9404.732,NA,NA
175,9388.999,9389.432,2505.666,2508.466,2508.466,2513.3,8860.699,8860.765,9404.765,9404.832,NA,NA
176,9393.665,9403.865,2513.3,2513.433,2513.433,2514.866,8949.532,8949.665,9404.865,9404.932,NA,NA
177,9407.765,9412.299,2514.866,2524.333,2524.333,2524.766,8949.699,8949.832,9405.932,9407.765,NA,NA
178,9414.365,9414.765,2524.766,2527.866,2527.866,2531.033,8949.899,8949.932,9421.699,9421.799,NA,NA
179,9419.665,9421.599,2531.033,2531.333,2531.333,2534.1,8950.932,8951.132,9421.832,9422.132,NA,NA
180,9422.132,9424.965,2534.1,2535.633,2535.633,2592,8951.565,8951.699,9424.965,9424.999,NA,NA
181,9424.999,9425.399,2592,2595.633,2595.633,2614.966,8951.832,8952.032,9425.399,9425.999,NA,NA
182,9425.999,9428.165,2614.966,2616.466,2616.466,2617.166,8952.632,8952.899,9471.399,9471.632,NA,NA
183,9451.699,9471.399,2617.166,2617.3,2617.3,2617.533,8959.632,8959.699,9472.799,9473.565,NA,NA
184,9471.632,9472.799,2617.533,2617.666,2617.666,2618.3,8959.899,8960.065,9474.332,9474.365,NA,NA
185,9473.565,9474.332,2618.3,2618.4,2618.4,2619.966,8960.799,8960.932,9474.399,9474.465,NA,NA
186,9474.365,9474.399,2619.966,2620.033,2620.033,2620.566,8964.265,8964.332,9474.499,9474.532,NA,NA
187,9474.465,9474.499,2620.566,2620.6,2620.6,2620.966,8964.765,8965.132,9474.599,9474.899,NA,NA
188,9474.532,9474.599,2620.966,2643.966,2643.966,2654.366,8965.665,8966.865,9493.532,9493.565,NA,NA
189,9474.899,9477.499,2654.366,2654.5,2654.5,2654.6,8969.232,8970.732,9494.165,9495.065,NA,NA
190,9489.899,9492.865,2654.6,2658.366,2658.366,2666.5,8971.232,8971.365,9498.465,9498.865,NA,NA
191,9508.232,9508.999,2666.5,2667.666,2667.666,2667.9,8987.932,8993.399,9503.599,9503.699,NA,NA
192,9525.032,9527.365,2667.9,2668.766,2668.766,2672.933,8993.699,8993.865,9507.765,9508.232,NA,NA
193,9536.365,9537.032,2672.933,2673.433,2673.433,2682.1,8994.099,8994.499,9535.165,9536.332,NA,NA
194,9541.465,9579.265,2682.1,2682.333,2682.333,2736.533,8994.832,8995.299,9579.432,9579.499,NA,NA
195,9834.932,9835.465,2736.533,2741.766,2741.766,2745.533,8995.932,8995.965,9579.532,9579.565,NA,NA
196,9909.599,9912.965,2745.533,2746.4,2746.4,2767.933,8996.132,8996.532,9580.765,9582.099,NA,NA
197,9913.199,9913.565,2767.933,2782.533,2782.533,2783.266,8996.565,8997.899,9582.732,9585.365,NA,NA
198,10144.099,10149.899,2783.266,2789.233,2925.3,2948.166,8998.699,8998.932,9585.499,9585.865,NA,NA
199,10155.765,10155.899,2915.6,2925.3,2951.133,2953.333,9016.265,9016.432,9586.332,9586.365,NA,NA
200,10159.332,10159.399,2948.166,2951.133,2953.433,2957.766,9016.765,9017.199,9586.399,9587.832,NA,NA
201,10162.332,10178.999,2953.333,2953.433,2957.8,2957.933,9019.332,9019.499,9588.032,9602.865,NA,NA
202,10625.299,10632.632,2957.766,2957.8,2958.6,2959.4,9020.465,9021.399,9603.065,9603.299,NA,NA
203,10633.132,10633.165,2957.933,2958.6,2959.7,2960.666,9022.899,9025.199,9604.765,9629.465,NA,NA
204,10633.199,10636.699,2959.4,2959.7,2960.866,2972.2,9044.799,9046.265,9631.732,9632.265,NA,NA
205,10655.865,10681.499,2960.666,2960.866,2974.466,2974.566,9046.399,9046.632,9634.399,9644.399,NA,NA
206,10752.032,10755.499,2972.2,2974.466,2974.8,2975.633,9046.665,9046.965,9644.499,9644.732,NA,NA
207,10780.365,10784.799,2974.566,2974.8,3072.033,3072.866,9047.065,9047.499,9644.899,9650.065,NA,NA
208,10805.531,10806.065,2975.633,2975.9,3073,3081.166,9047.832,9047.999,9651.532,9660.099,NA,NA
209,11118.298,11122.565,3039.1,3050.133,3081.733,3081.933,9057.065,9057.332,9660.199,9660.732,NA,NA
210,11122.731,11148.031,3059.733,3061.033,3082.066,3082.133,9057.599,9057.665,9660.765,9678.299,NA,NA
211,11148.731,11154.431,3063.2,3065.566,3083.166,3085.933,9060.232,9060.432,9678.665,9681.799,NA,NA
