"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Contact_Unknown_start","Contact_Unknown_stop"
147,1329.5,1337.833,1309.2,1309.266,2424.766,2431.666,4225.766,4226.3,4635.8,4635.833,7690.399,7697.199,NA,NA
148,1354.7,1354.733,1329.2,1329.5,2433.466,2434.3,4236.8,4236.866,4635.933,4636.7,7707.732,7711.199,NA,NA
149,1355.633,1357.533,1337.833,1345.466,2434.4,2436.433,4236.9,4236.933,4636.9,4637.033,7718.666,7719.332,NA,NA
150,1357.666,1357.8,1348.766,1354.7,2436.666,2484.133,4242.766,4242.8,4637.3,4640.9,7726.332,7731.199,NA,NA
151,1467.433,1467.9,1354.733,1355.633,2486.733,2487.4,4342.233,4346.066,4720.433,4728.966,7737.266,7739.399,NA,NA
152,1467.933,1468,1357.533,1357.666,2526.733,2533.1,4346.1,4347.7,4731.133,4734.8,7739.799,7741.999,NA,NA
153,1468.133,1468.233,1357.8,1359.833,2612.133,2613.133,4347.833,4348.266,4739.033,4744.966,7763.799,7764.732,NA,NA
154,1469.3,1469.333,1363.266,1363.833,2615.5,2647.5,4349.7,4349.766,4749.433,4750.833,7772.199,7774.199,NA,NA
155,1469.4,1469.466,1467.9,1467.933,2647.733,2647.866,4349.933,4350.033,5081.366,5082.6,8071.466,8074.932,NA,NA
156,1469.933,1476.066,1468,1468.133,2653.433,2675.3,4350.233,4350.266,5082.766,5083,8377.699,8378.732,NA,NA
157,1531.933,1532,1468.233,1469.3,2678.733,2679.666,4350.3,4351.133,5083.066,5083.2,8438.432,8439.932,NA,NA
158,1658.566,1659.2,1469.333,1469.4,2684.533,2720.133,4351.233,4351.366,5083.266,5083.733,8548.899,8550.966,NA,NA
159,1661.433,1665.166,1469.466,1469.933,2725.4,2746.7,4351.6,4351.933,5085,5085.466,8638.766,8640.432,NA,NA
160,1671.166,1671.5,1476.066,1476.266,2761.033,2775.4,4356,4356.233,5085.633,5087.566,8644.632,8654.299,NA,NA
161,1673.233,1673.466,1487.233,1487.333,2809.633,2824.466,4356.366,4356.466,5088.566,5091.433,8661.832,8663.832,NA,NA
162,1673.666,1678.266,1496.433,1498.4,2825.6,2827.233,4356.566,4356.733,5092.8,5096.133,8668.099,8669.166,NA,NA
163,1691.633,1694.366,1498.4,1517.233,2849.5,2856.9,4356.966,4358.1,5096.233,5098.533,8684.166,8687.632,NA,NA
164,1695.2,1698.233,1517.3,1517.333,2859.2,2859.566,4358.266,4358.333,5098.633,5101.133,9120.232,9120.832,NA,NA
