"X1","X1_1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
236,NA,NA,NA,7270.763,7468.03,NA,NA,4120.864,4120.93,19644.529,19644.595,NA,NA
237,NA,NA,NA,7468.063,7942.43,NA,NA,4120.964,4121.097,19657.795,19657.862,NA,NA
238,NA,NA,NA,7946.263,7946.83,NA,NA,4121.13,4121.697,19657.895,19667.895,NA,NA
239,NA,NA,NA,7946.863,7946.93,NA,NA,4191.497,4195.997,19708.495,19708.529,NA,NA
240,NA,NA,NA,7952.397,7969.597,NA,NA,4196.03,4196.097,19708.595,19716.495,NA,NA
241,NA,NA,NA,7969.663,8177.63,NA,NA,4253.764,4256.864,19716.629,19716.662,NA,NA
242,NA,NA,NA,8177.697,8178.363,NA,NA,4274.897,4275.164,19716.695,19716.762,NA,NA
243,NA,NA,NA,8178.563,8178.763,NA,NA,4275.297,4275.33,19725.895,19725.995,NA,NA
244,NA,NA,NA,8179.097,8179.163,NA,NA,4275.397,4276.564,19731.662,19731.729,NA,NA
245,NA,NA,NA,8184.93,8319.597,NA,NA,4276.63,4278.064,19731.995,19732.029,NA,NA
246,NA,NA,NA,8324.963,8670.197,NA,NA,4285.43,4290.33,19732.062,19738.762,NA,NA
247,NA,NA,NA,8717.963,9076.663,NA,NA,4291.064,4324.664,19740.662,19746.295,NA,NA
248,NA,NA,NA,9142.297,9143.563,NA,NA,4419.33,4428.897,19746.329,19746.362,NA,NA
249,NA,NA,NA,9144.363,9282.13,NA,NA,4430.097,4433.264,19747.029,19747.062,NA,NA
250,NA,NA,NA,9309.13,9330.33,NA,NA,4433.53,4435.597,19749.129,19749.262,NA,NA
251,NA,NA,NA,9334.897,9337.93,NA,NA,4438.43,4439.93,19749.362,19750.562,NA,NA
252,NA,NA,NA,9337.963,9338.43,NA,NA,4457.264,4459.73,19750.895,19758.162,NA,NA
253,NA,NA,NA,9338.63,9340.43,NA,NA,4461.364,4465.464,19758.462,19760.229,NA,NA
254,NA,NA,NA,9342.797,9342.83,NA,NA,4465.764,4467.93,19762.895,19781.895,NA,NA
255,NA,NA,NA,9342.897,9343.097,NA,NA,4474.064,4506.364,19782.629,19782.995,NA,NA
256,NA,NA,NA,9344.63,9352.297,NA,NA,5490.464,5502.297,19784.995,19785.295,NA,NA
257,NA,NA,NA,9352.43,9353.363,NA,NA,5502.597,5502.997,19855.595,19881.929,NA,NA
258,NA,NA,NA,9356.597,9356.663,NA,NA,5503.13,5504.23,19884.962,19885.029,NA,NA
259,NA,NA,NA,9357.797,9368.763,NA,NA,5504.364,5504.464,19907.262,19940.429,NA,NA
260,NA,NA,NA,12788.263,12790.363,NA,NA,5566.33,5572.364,19940.462,20031.262,NA,NA
261,NA,NA,NA,12791.396,12791.563,NA,NA,5595.63,5598.664,20034.129,20042.095,NA,NA
262,NA,NA,NA,12791.596,12791.996,NA,NA,5635.53,5652.264,20058.995,20059.429,NA,NA
263,NA,NA,NA,12792.029,12793.096,NA,NA,5652.33,5652.564,20062.895,20064.462,NA,NA
264,NA,NA,NA,12793.129,12793.263,NA,NA,5652.63,5652.664,20069.095,20072.862,NA,NA
265,NA,NA,NA,12796.229,12797.563,NA,NA,5652.697,5652.797,20073.129,20073.329,NA,NA
266,NA,NA,NA,12797.729,12798.196,NA,NA,5652.93,5652.997,20073.495,20078.362,NA,NA
267,NA,NA,NA,12805.429,12865.796,NA,NA,7042.364,7052.264,20080.662,20083.029,NA,NA
268,NA,NA,NA,12932.529,12932.596,NA,NA,7052.297,7052.53,21115.395,21115.762,NA,NA
269,NA,NA,NA,12932.629,12932.929,NA,NA,7107.064,7107.364,NA,NA,NA,NA
270,NA,NA,NA,12932.963,12933.229,NA,NA,7107.397,7107.664,NA,NA,NA,NA
271,NA,NA,NA,12933.296,12933.363,NA,NA,7107.797,7107.83,NA,NA,NA,NA
272,NA,NA,NA,12933.396,12933.729,NA,NA,7108.83,7109.097,NA,NA,NA,NA
273,NA,NA,NA,12934.929,12937.763,NA,NA,7109.364,7109.764,NA,NA,NA,NA
274,NA,NA,NA,12938.029,12938.729,NA,NA,7109.83,7110.03,NA,NA,NA,NA
275,NA,NA,NA,12943.163,12944.896,NA,NA,7110.097,7110.564,NA,NA,NA,NA
276,NA,NA,NA,12945.263,12946.563,NA,NA,7110.83,7110.897,NA,NA,NA,NA
277,NA,NA,NA,12946.696,12947.029,NA,NA,7137.83,7150.197,NA,NA,NA,NA
278,NA,NA,NA,12947.829,12948.329,NA,NA,7172.397,7172.73,NA,NA,NA,NA
279,NA,NA,NA,12948.429,12948.596,NA,NA,7172.797,7172.83,NA,NA,NA,NA
280,NA,NA,NA,12949.596,12949.663,NA,NA,7194.93,7195.297,NA,NA,NA,NA
281,NA,NA,NA,12985.929,12985.963,NA,NA,7197.23,7197.563,NA,NA,NA,NA
