"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
145,NA,NA,11522.832,11527.898,2385.467,2385.667,2537.767,2538.2,12457.865,12462.465,NA,NA,NA,NA
146,NA,NA,11529.532,11529.598,2393.967,2395.4,2538.5,2538.967,12462.732,12463.465,NA,NA,NA,NA
147,NA,NA,11532.998,11533.132,2469.6,2469.734,2539.267,2539.4,12463.732,12463.798,NA,NA,NA,NA
148,NA,NA,11533.632,11534.898,2470.234,2470.7,2539.5,2539.667,13012.065,13012.398,NA,NA,NA,NA
149,NA,NA,11534.965,11534.998,2471.034,2473,2542.067,2542.1,13012.465,13012.498,NA,NA,NA,NA
150,NA,NA,11537.365,11537.432,2473.534,2474.067,2543.2,2543.4,13012.565,13012.598,NA,NA,NA,NA
151,NA,NA,11538.065,11542.365,2475.734,2520.767,2544.8,2568.234,13012.698,13013.065,NA,NA,NA,NA
152,NA,NA,11542.698,11548.165,2520.9,2522.7,2573,2575.067,13586.098,13586.132,NA,NA,NA,NA
153,NA,NA,11548.565,11548.598,2522.8,2523.7,2680.834,2692.6,13586.198,13586.232,NA,NA,NA,NA
154,NA,NA,11548.632,11548.865,2525.434,2526.3,2725.8,2726.234,13586.265,13587.232,NA,NA,NA,NA
155,NA,NA,11549.465,11573.165,2526.467,2530.267,2726.8,2729.534,13592.832,13593.232,NA,NA,NA,NA
156,NA,NA,11573.198,11576.298,2530.667,2534.6,2730.034,2731.134,13593.498,13594.965,NA,NA,NA,NA
157,NA,NA,12444.732,12445.132,2536.767,2537.767,2737.967,2740.1,13605.232,13605.765,NA,NA,NA,NA
158,NA,NA,12445.632,12448.398,2538.2,2538.5,2740.167,2740.3,13605.898,13605.965,NA,NA,NA,NA
159,NA,NA,12448.498,12448.532,2538.967,2539.267,2740.367,2740.4,13606.232,13606.832,NA,NA,NA,NA
160,NA,NA,12455.632,12455.898,2539.4,2539.5,3557.234,3557.267,13607.898,13607.965,NA,NA,NA,NA
161,NA,NA,12456.232,12456.298,2539.667,2542.067,3557.834,3558.734,13609.632,13611.565,NA,NA,NA,NA
162,NA,NA,12456.332,12456.365,2542.1,2543.2,3558.834,3560.7,13611.632,13615.265,NA,NA,NA,NA
163,NA,NA,12456.465,12457.865,2543.4,2544.8,3561.2,3582.3,13616.698,13618.298,NA,NA,NA,NA
164,NA,NA,12462.465,12462.732,2568.234,2573,3582.434,3588.567,13618.365,13618.432,NA,NA,NA,NA
165,NA,NA,12463.465,12463.732,2575.067,2680.834,3588.567,3593,13691.765,13691.832,NA,NA,NA,NA
166,NA,NA,12463.798,12465.065,2692.6,2725.8,3594.533,3596.5,13694.198,13694.365,NA,NA,NA,NA
167,NA,NA,12587.498,12650.232,2726.234,2726.8,3602.233,3602.8,13705.232,13706.498,NA,NA,NA,NA
168,NA,NA,12651.498,12653.065,2729.534,2730.034,3605.433,3606.533,13712.065,13712.165,NA,NA,NA,NA
169,NA,NA,12654.198,12728.498,2731.134,2737.967,3606.767,3608.3,13712.198,13712.498,NA,NA,NA,NA
170,NA,NA,12979.432,13012.065,2740.1,2740.167,3608.4,3610.533,13713.498,13717.632,NA,NA,NA,NA
171,NA,NA,13012.398,13012.465,2740.3,2740.367,3610.6,3610.633,13727.565,13728.098,NA,NA,NA,NA
172,NA,NA,13012.498,13012.565,2740.4,3557.234,3611.167,3653.567,13985.865,13988.165,NA,NA,NA,NA
173,NA,NA,13012.598,13012.698,3557.267,3557.834,3653.633,3653.833,14030.932,14031.432,NA,NA,NA,NA
174,NA,NA,13013.065,13013.198,3558.734,3558.834,3654.033,3654.567,14045.665,14049.032,NA,NA,NA,NA
175,NA,NA,13082.132,13215.198,3560.7,3561.2,3654.633,3659.433,14049.332,14050.765,NA,NA,NA,NA
176,NA,NA,13460.632,13586.098,3582.3,3582.434,3974.567,3974.633,20288.265,20288.331,NA,NA,NA,NA
177,NA,NA,13586.132,13586.198,3593,3594.533,3975.067,3975.1,20288.565,20288.865,NA,NA,NA,NA
178,NA,NA,13586.232,13586.265,3596.5,3602.233,3975.2,3975.233,20291.598,20291.731,NA,NA,NA,NA
179,NA,NA,13587.232,13592.832,3602.8,3605.433,3987.7,3988.067,20291.798,20291.931,NA,NA,NA,NA
180,NA,NA,13593.232,13593.498,3606.533,3606.767,3988.3,3988.333,20291.998,20292.165,NA,NA,NA,NA
181,NA,NA,13594.965,13605.232,3608.3,3608.4,3988.567,3988.767,20726.098,20726.298,NA,NA,NA,NA
182,NA,NA,13605.765,13605.898,3610.533,3610.6,4010.867,4011.333,20919.531,20919.565,NA,NA,NA,NA
183,NA,NA,13605.965,13606.232,3610.633,3611.167,4011.633,4016.4,20920.131,20920.198,NA,NA,NA,NA
184,NA,NA,13606.832,13607.898,3653.567,3653.633,4423.467,4423.533,20921.131,20921.365,NA,NA,NA,NA
185,NA,NA,13607.965,13609.632,3653.833,3654.033,4425.2,4425.533,20921.598,20921.765,NA,NA,NA,NA
186,NA,NA,13611.565,13611.632,3654.567,3654.633,4425.833,4426.367,20924.831,20924.898,NA,NA,NA,NA
187,NA,NA,13615.265,13616.698,3659.433,3660.967,4426.467,4426.633,20925.031,20925.698,NA,NA,NA,NA
188,NA,NA,13672.998,13691.765,3944.933,3974.567,4428,4428.167,20983.065,20983.265,NA,NA,NA,NA
189,NA,NA,13691.832,13694.198,3974.633,3975.067,4428.567,4428.767,20983.731,20984.065,NA,NA,NA,NA
190,NA,NA,13694.365,13705.232,3975.1,3975.2,4428.867,4429.667,NA,NA,NA,NA,NA,NA
191,NA,NA,13706.498,13712.065,3975.233,3987.7,4429.867,4435.067,NA,NA,NA,NA,NA,NA
192,NA,NA,13712.165,13712.198,3988.067,3988.3,4435.333,4436.533,NA,NA,NA,NA,NA,NA
193,NA,NA,13712.498,13713.498,3988.333,3988.567,4436.867,4437.067,NA,NA,NA,NA,NA,NA
194,NA,NA,13717.632,13727.565,3988.767,4010.867,4447.733,4454.233,NA,NA,NA,NA,NA,NA
195,NA,NA,13728.098,13731.798,4011.333,4011.633,4454.733,4454.8,NA,NA,NA,NA,NA,NA
196,NA,NA,13988.165,14030.932,4016.4,4142.333,4457.333,4457.867,NA,NA,NA,NA,NA,NA
