"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
164,16178.899,16182.032,1743.4,1743.634,2022.1,2023.434,5520.167,5598.334,6962.267,6962.434,NA,NA
165,16183.932,16185.999,1750.034,1769.2,2023.534,2030.3,6254.1,6255.2,7883.199,7884.033,NA,NA
166,16196.066,16200.232,1862.934,1868.7,2215.734,2215.834,6265.2,6265.267,7884.099,7887.299,NA,NA
167,16209.399,16214.266,1869.134,1878.467,2215.867,2221.667,6267.4,6289.134,7906.433,7906.799,NA,NA
168,16217.399,16226.566,2008.134,2008.2,2226.767,2231.9,6292.667,6293.667,7907.233,7912.099,NA,NA
169,16231.732,16232.666,2008.4,2022.1,2238.734,2242.734,6293.767,6294.667,7925.266,7925.533,NA,NA
170,16238.466,16238.899,2023.434,2023.534,2364.167,2365.034,6297.4,6297.834,7948.299,7948.733,NA,NA
171,16260.866,16261.532,2030.3,2039.8,2365.067,2365.734,6306.767,6372.234,7948.866,7949.199,NA,NA
172,16262.666,16276.799,2179.267,2215.734,2373.867,2374.7,6905.867,6905.934,7949.533,7949.666,NA,NA
173,16288.732,16289.566,2215.834,2215.867,2376,2378.434,6913.034,6913.067,7950.266,7950.566,NA,NA
174,16294.332,16298.566,2221.667,2226.767,2378.534,2378.767,6913.334,6913.367,7950.899,7951.099,NA,NA
175,16300.166,16309.199,2231.9,2238.734,2482,2569.034,6913.467,6913.5,7951.399,7951.699,NA,NA
176,16310.866,16312.832,2242.734,2245.834,2729.934,2784.234,6913.534,6913.834,8179.133,8179.333,NA,NA
177,16313.799,16315.266,2303.4,2304.434,2835.7,2835.8,6914.034,6914.067,8242.799,8244.833,NA,NA
178,16330.332,16331.966,2305.034,2305.734,2905.167,2905.867,6914.7,6914.9,8244.966,8245.099,NA,NA
179,16335.299,16335.899,2363.534,2364.167,2906.067,2906.1,6915.067,6915.1,8245.233,8245.366,NA,NA
180,16336.999,16337.832,2365.034,2365.067,2906.267,3229.034,6915.4,6915.534,8382.533,8382.833,NA,NA
181,16347.999,16349.566,2365.734,2373.867,3388,3388.034,6954.934,6955.034,8402.266,8402.333,NA,NA
182,16354.632,16359.099,2374.7,2376,3388.067,3388.1,6955.1,6955.134,8402.366,8402.399,NA,NA
183,16362.899,16365.499,2378.434,2378.534,3388.834,3389.434,6955.3,6955.334,8402.433,8402.633,NA,NA
184,16404.166,16405.866,2378.767,2379.134,3389.8,3390.334,6955.4,6960.567,8402.666,8409.799,NA,NA
185,16449.632,16454.999,2462.567,2482,3390.434,3392.967,7860.799,7883.199,8409.933,8411.066,NA,NA
186,16473.632,16478.632,2569.034,2573.934,3393,3393.6,7884.033,7884.099,8411.799,8412.066,NA,NA
187,16492.166,16493.832,2729.5,2729.934,3395.234,3396.434,7887.299,7906.433,8414.233,8421.066,NA,NA
188,16512.766,16513.799,2784.234,2835.7,3396.534,3396.6,7906.799,7907.233,8423.799,8424.899,NA,NA
189,16516.532,16518.299,2835.8,2905.167,3396.734,3397,7912.099,7925.266,8435.733,8435.799,NA,NA
190,16542.732,16543.866,2905.867,2906.067,3398.734,3400.767,7925.533,7948.299,8465.966,8467.733,NA,NA
191,16546.166,16549.466,2906.1,2906.267,3400.834,3402.1,7948.733,7948.866,8468.033,8468.066,NA,NA
192,16549.532,16549.732,3229.034,3283.934,3409.7,3410.167,7949.199,7949.533,8468.566,8468.766,NA,NA
193,16549.866,16549.899,3388.367,3388.834,3410.3,3411.867,7949.666,7950.266,8468.966,8469.099,NA,NA
194,16550.066,16553.232,3389.434,3389.8,3417.534,3423.4,7950.566,7950.899,8469.499,8469.566,NA,NA
195,16558.199,16566.666,3390.334,3390.434,3424.7,3440.1,7951.099,7951.399,8469.699,8470.033,NA,NA
196,16631.932,16672.999,3392.967,3393,3462.934,3463.634,7951.699,8179.133,8471.533,8471.566,NA,NA
197,16711.366,16713.866,3393.6,3395.234,3588.6,3589.134,8179.333,8242.799,8471.699,8472.466,NA,NA
198,16724.732,16728.032,3396.434,3396.534,3589.167,3589.5,8244.833,8244.966,8788.399,8790.433,NA,NA
199,16762.399,16770.966,3396.6,3396.734,3589.567,3590.167,8245.099,8245.233,8790.633,8802.233,NA,NA
200,17096.232,17096.399,3397,3398.734,3591.934,3595.934,8245.366,8252.366,8840.866,8841.099,NA,NA
201,17114.566,17117.866,3400.767,3400.834,3595.934,3597.567,8382.233,8382.533,8900.833,8900.899,NA,NA
