"X1","Center_start","Center_stop","Unknown_start","Unknown_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop"
165,17724.632,17740.132,NA,NA,2131.233,2131.533,2001.667,2001.767,8717.299,8721.266,14849.999,14850.165,NA,NA
166,17742.632,17746.432,NA,NA,2134,2181.7,2011.167,2011.267,8721.833,8722.166,14850.299,14857.765,NA,NA
167,17792.132,17812.532,NA,NA,2201.467,2204.2,2011.667,2011.9,8722.233,8722.766,14863.465,14864.332,NA,NA
168,17812.865,17814.332,NA,NA,2245.833,2249.133,2014.067,2017.033,8727.233,8728.166,14866.899,14867.032,NA,NA
169,17821.899,17823.232,NA,NA,2255.567,2255.6,2023.8,2029.133,8728.299,8728.366,14869.199,14869.232,NA,NA
170,17823.699,17823.732,NA,NA,2255.767,2256.633,2042.067,2042.333,8728.933,8729.266,15970.032,15970.065,NA,NA
171,17823.832,17823.865,NA,NA,2282.1,2293.767,2051.6,2052.467,8729.966,8767.233,15970.165,15970.499,NA,NA
172,17824.099,17824.632,NA,NA,2400,2411.633,2053.4,2053.733,8965.299,8965.633,16185.699,16185.765,NA,NA
173,17826.399,17834.365,NA,NA,2417.933,2418.233,2053.933,2059,8966.133,8966.833,16186.732,16186.899,NA,NA
174,18163.932,18176.332,NA,NA,2434.1,2435.267,2127.967,2129.4,9030.699,9030.966,16186.999,16187.065,NA,NA
175,18212.998,18216.098,NA,NA,2450.567,2450.767,2131.133,2131.233,9037.499,9058.166,16188.265,16188.932,NA,NA
176,18302.098,18319.498,NA,NA,2454.033,2454.6,2131.533,2134,9058.299,9058.433,16188.965,16189.065,NA,NA
177,18322.298,18324.798,NA,NA,2456.367,2457.133,2181.7,2201.467,9060.266,9060.466,16409.299,16412.432,NA,NA
178,18338.365,18339.865,NA,NA,2457.433,2457.733,2204.2,2212.533,9064.699,9064.899,17050.599,17050.699,NA,NA
179,18668.531,18675.865,NA,NA,2458.333,2458.367,2245.167,2245.833,9066.233,9066.266,17050.865,17052.299,NA,NA
180,18752.198,18830.831,NA,NA,2464.033,2464.367,2249.133,2255.567,9066.333,9066.433,17084.365,17084.465,NA,NA
181,18842.365,18846.331,NA,NA,2465.133,2465.3,2255.6,2255.767,9067.733,9067.799,17084.799,17085.132,NA,NA
182,18876.531,18877.865,NA,NA,2465.333,2470.533,2256.633,2282.1,9070.133,9072.733,17435.932,17436.565,NA,NA
183,19092.631,19101.765,NA,NA,2476.667,2487.3,2293.767,2294.033,9072.799,9073.033,17740.832,17741.132,NA,NA
184,19119.865,19121.165,NA,NA,2525.933,2526.133,2311.1,2400,9082.933,9095.199,17741.665,17741.765,NA,NA
185,19208.865,19276.231,NA,NA,2529.867,2530.033,2411.633,2417.933,9268.533,9275.366,18176.798,18177.098,NA,NA
186,19442.998,19492.731,NA,NA,2532.6,2536.933,2418.233,2434.1,9275.399,9275.433,18177.865,18177.898,NA,NA
187,19564.765,19571.231,NA,NA,2538.933,2550.833,2435.267,2442,9277.399,9281.366,18178.798,18178.832,NA,NA
188,19579.698,19988.198,NA,NA,2551.467,2552.267,2447.667,2450.567,9329.333,9334.533,18178.865,18179.232,NA,NA
189,20027.331,20028.231,NA,NA,2603.333,2603.633,2450.767,2454.033,9435.233,9446.099,18179.332,18179.498,NA,NA
190,20257.231,20258.498,NA,NA,2603.733,2632.967,2454.6,2456.367,9795.066,9798.599,18179.532,18185.332,NA,NA
191,20259.531,20261.198,NA,NA,2633,2633.2,2457.133,2457.433,9972.699,9973.266,18185.498,18185.665,NA,NA
192,20271.765,20277.398,NA,NA,2633.533,2640.667,2457.733,2458.333,10067.499,10077.766,18186.332,18186.432,NA,NA
193,20293.331,20295.931,NA,NA,2641.067,2641.133,2458.367,2464.033,10079.566,10098.566,18187.165,18187.265,NA,NA
194,20296.365,20296.398,NA,NA,2641.233,2648.9,2464.367,2465.133,10098.599,10098.633,18187.332,18204.132,NA,NA
195,20296.498,20296.531,NA,NA,2662.333,2668.5,2465.3,2465.333,10309.433,10317.666,18204.165,18212.998,NA,NA
196,20296.565,20296.598,NA,NA,2703.1,2704.733,2470.533,2476.667,10317.933,10319.566,18326.065,18337.765,NA,NA
197,20296.631,20297.098,NA,NA,2705.033,2705.1,2487.3,2488.9,10320.033,10320.999,18337.798,18337.965,NA,NA
198,20795.865,20796.798,NA,NA,2707.167,2707.4,2525.5,2525.933,10322.933,10346.799,18846.765,18846.798,NA,NA
199,21106.531,21107.398,NA,NA,2716.267,2723.9,2526.133,2529.867,10760.732,10761.599,18847.631,18847.831,NA,NA
200,NA,NA,NA,NA,2726.933,2727,2536.933,2538.933,10764.732,10765.566,18850.831,18852.498,NA,NA
201,NA,NA,NA,NA,2727.733,2734.7,2550.833,2551.467,10781.599,10783.132,18852.565,18856.198,NA,NA
202,NA,NA,NA,NA,2734.967,2735.1,2552.267,2553.167,10783.266,10799.432,18857.265,18868.898,NA,NA
203,NA,NA,NA,NA,2735.2,2735.4,2602.933,2603.333,10802.632,10804.132,19102.965,19102.998,NA,NA
204,NA,NA,NA,NA,2735.833,2738.233,2603.633,2603.733,10804.199,10831.832,19104.331,19104.365,NA,NA
205,NA,NA,NA,NA,2738.6,2738.667,2632.967,2633,11025.266,11027.432,19572.465,19573.331,NA,NA
206,NA,NA,NA,NA,2738.767,2738.833,2633.2,2633.533,11028.366,11031.399,19577.431,19577.998,NA,NA
207,NA,NA,NA,NA,2739.3,2742.733,2640.667,2641.067,11377.399,11380.866,20029.631,20030.865,NA,NA
208,NA,NA,NA,NA,2759.8,2760.567,2641.133,2641.233,11960.899,11966.699,20032.631,20033.165,NA,NA
209,NA,NA,NA,NA,2760.833,2761.2,2648.9,2662.333,12390.666,12392.332,20035.798,20036.931,NA,NA
210,NA,NA,NA,NA,2766.267,2787.767,2668.5,2672.8,12392.399,12392.432,20278.398,20283.931,NA,NA
211,NA,NA,NA,NA,2800.033,2809.567,2702.733,2703.1,12393.566,12393.599,20284.165,20284.265,NA,NA
212,NA,NA,NA,NA,2823.2,2823.467,2704.733,2705.033,12393.832,12395.799,20797.631,20798.931,NA,NA
