"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
214,NA,NA,9781.332,9803.066,17099.998,17922.798,9549.066,9549.499,9520.499,9548.866,NA,NA,NA,NA
215,NA,NA,9803.566,9803.932,17922.798,18275.564,9549.999,9587.999,9548.899,9549.066,NA,NA,NA,NA
216,NA,NA,9989.366,9994.366,18276.264,18276.298,9622.132,9721.432,9549.499,9549.999,NA,NA,NA,NA
217,NA,NA,10301.599,10303.132,18276.998,18282.564,10009.466,10023.266,9587.999,9622.132,NA,NA,NA,NA
218,NA,NA,10303.232,10303.366,18293.631,18299.331,10053.832,10088.632,9721.432,9758.532,NA,NA,NA,NA
219,NA,NA,10313.299,10313.832,18323.031,18325.231,10088.699,10088.832,9768.932,9780.032,NA,NA,NA,NA
220,NA,NA,10315.299,10482.832,18334.798,18347.364,10089.099,10139.866,9997.666,10009.466,NA,NA,NA,NA
221,NA,NA,10483.532,10523.399,18347.931,18348.464,10140.099,10150.566,10023.266,10053.832,NA,NA,NA,NA
222,NA,NA,10523.599,10524.766,18348.564,18348.598,10150.699,10151.132,10088.632,10088.699,NA,NA,NA,NA
223,NA,NA,10568.199,10571.732,18348.631,18348.798,10152.699,10153.232,10088.832,10089.099,NA,NA,NA,NA
224,NA,NA,10577.632,10610.399,18348.831,18348.864,10176.766,10176.899,10139.866,10140.099,NA,NA,NA,NA
225,NA,NA,10682.799,10696.699,18348.998,18354.098,10177.766,10179.232,10150.566,10150.699,NA,NA,NA,NA
