"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Right_start","Contact_Right_stop"
247,16373.065,16373.565,4536.8,4538.366,2898.7,2904.467,3930.766,3930.833,3052.9,3053.7
248,16378.698,16381.732,4549.6,4550,2904.5,2905.867,3932.5,3932.7,3053.8,3054
249,16381.765,16389.098,4555.133,4555.533,2906.967,2907.9,4012.666,4012.766,3054.067,3055.467
250,16500.032,16500.065,4662.333,4662.666,2910.5,2910.634,4013.266,4013.433,3336.8,3337.1
251,16501.232,16503.698,4668.366,4668.733,2910.834,2913.867,4018.033,4018.833,3337.7,3338.234
252,16505.732,16517.998,4669.866,4670.4,2914.067,2915.734,4020.433,4023.233,3338.467,3342.067
253,16524.565,16524.965,4673.5,4678.433,2915.867,2917.167,4024.2,4024.766,3342.234,3342.3
254,16789.365,16790.632,4678.566,4685.633,2917.534,2924.034,4024.9,4026.3,3342.7,3343.8
255,16790.698,16801.232,4686.366,4687.3,2924.234,2924.4,4026.5,4032.333,3344.267,3344.334
256,16840.032,16840.598,4693.866,4694.033,2924.567,2926.2,4032.566,4032.766,3344.767,3345.9
257,16841.032,16841.365,4697.833,4698.033,2977.567,2977.834,4037.666,4062.933,3346.867,3347.6
258,16841.732,16844.198,4936.833,4954.333,2977.867,2977.934,4063.066,4063.1,3348.4,3348.534
259,16844.398,16885.832,4954.733,4956.3,2978,2978.134,4063.166,4081.666,3348.834,3349.3
260,16886.032,16886.098,5292.9,5294.3,3023.167,3032.234,4084.133,4084.166,3349.434,3353.2
261,17047.998,17052.098,5294.566,5294.866,3032.467,3036.3,4084.3,4084.366,3353.334,3353.434
262,17052.365,17054.865,5295.633,5296.133,3036.4,3036.567,4084.4,4084.433,3353.6,3353.9
263,17056.865,17057.232,5296.866,5297.2,3037.167,3039.234,4084.566,4104.2,3355.167,3355.2
264,17059.232,17059.865,5302.3,5302.566,3039.4,3041.667,4148.7,4148.733,3355.6,3355.667
265,17093.665,17095.098,5303.266,5303.566,3041.767,3043.1,4149.333,4149.433,3357.134,3357.567
266,17240.165,17240.732,5306.4,5306.566,3047.5,3047.667,4149.866,4150.033,3358.034,3358.2
267,17308.798,17396.065,5306.666,5306.933,3047.967,3048.867,4152.433,4153.633,3358.5,3358.9
268,17544.298,17545.032,5310.133,5310.433,3048.934,3049.067,4248.466,4248.533,3429.767,3429.8
269,17650.698,17651.998,5316.3,5316.7,3049.134,3049.8,4248.566,4248.966,3430.267,3430.3
270,17652.365,17653.098,5321.266,5323.333,3050,3050.267,4249.666,4291.633,3435.834,3435.934
271,18078.164,18078.831,5323.866,5324.066,3050.534,3051,4415.1,4415.866,3436.3,3437.467
