"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Unknown_start","Unknown_stop"
139,NA,NA,4503.334,4532.867,5102.1,5103.534,1373.634,1375.167,1605.934,1606.867,NA,NA,NA,NA
140,NA,NA,4533.034,4533.167,5103.734,5103.8,1379.967,1380.034,1607.8,1610.6,NA,NA,NA,NA
141,NA,NA,4534.1,4534.267,5103.867,5103.934,1380.1,1383.367,1612.834,1612.9,NA,NA,NA,NA
142,NA,NA,4534.434,4535.634,5108.867,5108.9,1383.5,1420.167,1613.3,1623.967,NA,NA,NA,NA
143,NA,NA,4536.834,4540.3,5109.6,5109.7,1421.267,1427.7,1640.3,1642.867,NA,NA,NA,NA
144,NA,NA,4543.3,4543.6,5113,5121.534,1579.767,1597.067,1651.4,1652.967,NA,NA,NA,NA
145,NA,NA,4544.134,4615.167,5122.1,5122.134,1597.234,1604.067,1694.334,1694.934,NA,NA,NA,NA
146,NA,NA,4615.234,4615.3,5284.9,5291.167,1604.267,1605.934,1695.067,1695.167,NA,NA,NA,NA
147,NA,NA,4803.5,4803.8,5291.3,5304.8,1606.867,1607.8,1775.834,1779.767,NA,NA,NA,NA
148,NA,NA,4804.734,4805.067,5305.134,5305.834,1610.6,1612.834,1944.434,1944.667,NA,NA,NA,NA
149,NA,NA,4805.8,4806.167,5306.467,5306.667,1612.9,1613.3,2011.3,2020.334,NA,NA,NA,NA
150,NA,NA,4827.967,4828,5308.067,5309.134,1623.967,1640.3,2020.534,2020.8,NA,NA,NA,NA
151,NA,NA,4828.034,4828.234,5309.267,5309.667,1642.867,1651.4,2051.3,2051.334,NA,NA,NA,NA
152,NA,NA,4833.434,4896.4,5310,5310.067,1652.967,1694.334,2051.567,2051.8,NA,NA,NA,NA
153,NA,NA,4908.967,4909.034,5311.467,5312.534,1694.934,1695.067,2310.667,2316.8,NA,NA,NA,NA
154,NA,NA,4969.067,4979.6,5330.2,5330.867,1695.167,1728.2,2323.267,2324.367,NA,NA,NA,NA
155,NA,NA,5085.5,5090.7,5330.967,5331.134,1775.067,1775.834,2324.434,2328,NA,NA,NA,NA
156,NA,NA,5092.3,5095.167,5331.234,5332.734,1779.767,1781.634,2359.667,2359.8,NA,NA,NA,NA
157,NA,NA,5095.4,5096.4,5333.934,5337.1,1902.367,1944.434,3089.834,3089.867,NA,NA,NA,NA
158,NA,NA,5099.3,5099.434,5337.367,5342.5,1944.667,2011.3,3090.234,3090.5,NA,NA,NA,NA
159,NA,NA,5102,5102.1,5342.767,5344.034,2020.334,2020.534,3091.7,3092.8,NA,NA,NA,NA
160,NA,NA,5103.534,5103.734,5413.567,5414,2020.8,2051.3,3092.867,3095.2,NA,NA,NA,NA
161,NA,NA,5103.8,5103.867,5414.267,5414.434,2051.334,2051.567,3095.3,3095.367,NA,NA,NA,NA
162,NA,NA,5103.934,5108.867,5416.034,5421.967,2051.8,2310.667,3095.5,3095.6,NA,NA,NA,NA
163,NA,NA,5108.9,5109.6,5422.1,5422.134,2316.8,2323.267,3095.7,3096.234,NA,NA,NA,NA
164,NA,NA,5109.7,5113,5785.134,6393,2324.367,2324.434,3096.267,3098.034,NA,NA,NA,NA
165,NA,NA,5121.534,5122.1,6464.067,6474.134,2328,2359.667,3099.534,3100.634,NA,NA,NA,NA
166,NA,NA,5122.134,5174.5,6474.267,7199.5,2359.8,2364.934,3100.667,3100.7,NA,NA,NA,NA
167,NA,NA,5284.2,5284.9,7199.5,8253.966,3087.634,3089.834,3100.767,3189.634,NA,NA,NA,NA
168,NA,NA,5291.167,5291.3,8254.266,8254.966,3089.867,3090.234,3190.9,3192.567,NA,NA,NA,NA
169,NA,NA,5304.8,5305.134,8255.833,8256.366,3090.5,3091.7,3194.1,3195.567,NA,NA,NA,NA
170,NA,NA,5305.834,5306.467,8256.433,10320.566,3092.8,3092.867,3196.3,3196.7,NA,NA,NA,NA
171,NA,NA,5306.667,5308.067,10343.1,10346.133,3095.2,3095.3,3198.9,3203.767,NA,NA,NA,NA
172,NA,NA,5309.134,5309.267,10347.066,10347.2,3095.367,3095.5,3204.7,3284,NA,NA,NA,NA
173,NA,NA,5309.667,5310,10358,10358.9,3095.6,3095.7,3284.867,3285.067,NA,NA,NA,NA
174,NA,NA,5310.067,5311.467,10407.933,10483.166,3096.234,3096.267,3285.534,3285.8,NA,NA,NA,NA
175,NA,NA,5312.534,5330.2,10483.633,10573.333,3098.034,3099.534,3285.867,3286.334,NA,NA,NA,NA
176,NA,NA,5330.867,5330.967,10573.866,10702.466,3100.634,3100.667,3291.634,3296,NA,NA,NA,NA
177,NA,NA,5331.134,5331.234,10702.733,10799.466,3100.7,3100.767,3301.334,3304.934,NA,NA,NA,NA
178,NA,NA,5332.734,5333.934,10799.466,10848.332,3189.634,3190.9,3305,3343.6,NA,NA,NA,NA
179,NA,NA,5337.1,5337.367,10857.232,10985.932,3192.567,3194.1,3344.334,3391.167,NA,NA,NA,NA
180,NA,NA,5342.5,5342.767,11020.199,11020.366,3195.567,3196.3,3702.967,3709.167,NA,NA,NA,NA
181,NA,NA,5344.034,5350.434,11020.932,11021.166,3196.7,3198.9,3709.334,3709.367,NA,NA,NA,NA
182,NA,NA,5413.2,5413.567,11021.399,11021.499,3203.767,3204.7,3709.4,3714.467,NA,NA,NA,NA
183,NA,NA,5414,5414.267,11021.566,11021.599,3284,3284.867,3714.667,3714.867,NA,NA,NA,NA
184,NA,NA,5414.434,5416.034,11021.799,11023.732,3285.067,3285.534,3715.3,3716.334,NA,NA,NA,NA
185,NA,NA,5421.967,5422.1,11026.566,11026.632,3285.8,3285.867,3716.634,3725.467,NA,NA,NA,NA
186,NA,NA,5422.134,5465.2,11027.666,11027.799,3286.334,3291.634,3725.567,3725.6,NA,NA,NA,NA
187,NA,NA,5784.434,5785.134,11407.032,11408.566,3296,3301.334,3726.267,3726.3,NA,NA,NA,NA
188,NA,NA,6393,6464.067,11408.599,11408.932,3304.934,3305,3726.367,3729.534,NA,NA,NA,NA
189,NA,NA,6474.134,6474.267,11408.999,11409.199,3343.6,3344.334,3729.734,3731.934,NA,NA,NA,NA
190,NA,NA,8253.966,8254.266,11409.266,11409.332,3391.167,3450.867,3735.4,3743.434,NA,NA,NA,NA
191,NA,NA,8254.966,8255.833,11409.399,11409.666,3702.134,3702.967,3743.467,3745.367,NA,NA,NA,NA
192,NA,NA,8256.366,8256.433,11410.399,11411.032,3709.167,3709.334,3747.234,3747.567,NA,NA,NA,NA
193,NA,NA,10320.566,10343.1,11411.199,11411.232,3709.367,3709.4,3750.767,3750.867,NA,NA,NA,NA
194,NA,NA,10346.133,10347.066,11411.266,11412.266,3714.467,3714.667,3751.034,3751.567,NA,NA,NA,NA
195,NA,NA,10347.2,10358,11412.399,11413.032,3714.867,3715.3,3752.067,3753.334,NA,NA,NA,NA
196,NA,NA,10358.9,10407.933,11577.266,11581.466,3716.334,3716.634,3753.4,3753.467,NA,NA,NA,NA
197,NA,NA,10483.166,10483.633,11581.866,11585.632,3725.467,3725.567,3753.534,3759.734,NA,NA,NA,NA
198,NA,NA,10573.333,10573.866,11585.932,11597.332,3725.6,3726.267,3760.067,3760.534,NA,NA,NA,NA
199,NA,NA,10702.466,10702.733,11597.399,11598.199,3726.3,3726.367,3762.667,3762.934,NA,NA,NA,NA
