"X1","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
72,641.8,642.667,747.734,750.967,3490.067,3495.967,1570.967,1574.734,1944.934,1945.667,NA,NA
73,645.367,649.234,751,760.734,3522.934,3523.634,1574.834,1574.967,1946.067,1946.134,NA,NA
74,666.234,666.6,761.1,761.5,3549.2,3549.934,1575.167,1575.467,1946.167,1947.434,NA,NA
75,717.934,747.734,763.667,767.5,3589.5,3590.233,1591.267,1591.4,1947.5,1965.167,NA,NA
76,750.967,751,805.4,818.767,5334.066,5334.9,1605.334,1605.4,1965.2,1989.934,NA,NA
77,760.734,761.1,818.834,819,5352.933,5353.466,1605.534,1605.6,1990.934,1991.234,NA,NA
78,761.5,763.667,819.167,822.9,10606.899,10612.832,1620.567,1633.167,2243.667,2255.8,NA,NA
79,767.5,767.8,823.1,835.1,10659.599,10667.399,1704.167,1721.667,2330.9,2330.967,NA,NA
80,802.634,805.4,835.367,835.9,10779.366,10786.832,1727.967,1731.467,2331.034,2331.067,NA,NA
81,818.767,818.834,835.934,836.467,10815.499,10823.532,1732.2,1732.5,2331.1,2331.3,NA,NA
82,819,819.167,836.534,836.6,10925.366,10964.566,1775.9,1776.2,2356.267,2356.3,NA,NA
83,822.9,823.1,836.667,836.834,11033.566,11093.266,1777.434,1777.7,2356.367,2356.9,NA,NA
84,835.1,835.367,837.7,838.4,11195.266,11293.032,1777.734,1777.767,2357.3,2360.367,NA,NA
85,835.9,835.934,839.267,845.2,11344.032,11352.166,1778.667,1784.734,2408.934,2408.967,NA,NA
86,836.467,836.534,845.9,846.234,11401.066,11443.632,1785.8,1804.234,2409,2410.867,NA,NA
87,836.6,836.667,846.267,846.7,11491.232,11522.032,1808.034,1811.567,2413,2420.834,NA,NA
88,836.834,837.7,962,962.1,11568.732,11569.599,1814.934,1893.167,2421.234,2426.067,NA,NA
89,838.4,839.267,962.167,962.6,11569.632,11569.732,1930.734,1930.767,2450.334,2463.667,NA,NA
90,845.2,845.9,962.734,963.9,11643.899,11659.566,1943.9,1943.934,2465.6,2466.9,NA,NA
91,846.234,846.267,964.4,969.8,11774.099,11826.366,1944.034,1944.234,2504.6,2508.034,NA,NA
92,846.7,847.9,970.067,970.267,11833.766,11849.899,1944.3,1944.934,2532.867,2532.9,NA,NA
93,853.634,857.167,970.3,970.434,11892.299,11892.766,1945.667,1946.067,2538.7,2538.734,NA,NA
94,863.234,864.1,970.5,982.4,12154.832,12231.499,1946.134,1946.167,2538.767,2539.9,NA,NA
95,864.867,867.7,988.134,988.234,12231.632,12231.666,1947.434,1947.5,2543.767,2544.834,NA,NA
96,954.034,962,991.867,994.267,12231.699,12231.732,1965.167,1965.2,2544.934,2554,NA,NA
97,962.1,962.167,994.4,994.434,12231.832,12231.899,1989.934,1990.934,2616.9,2616.934,NA,NA
98,962.6,962.734,994.5,996.067,12231.966,12291.766,1991.234,1994.867,2617.1,2617.3,NA,NA
99,963.9,964.4,996.467,997.867,12404.766,12408.532,2242.934,2243.667,2617.734,2617.934,NA,NA
100,969.8,970.067,1360.934,1468.3,12594.799,12674.932,2255.8,2300.367,2618.334,2618.7,NA,NA
101,970.267,970.3,1468.4,1468.534,12705.566,12747.199,2303.667,2315.367,2806.634,2814.167,NA,NA
102,970.434,970.5,1469.134,1469.3,12801.666,12816.399,2330.767,2330.9,2814.267,2827.4,NA,NA
103,982.4,988.134,1469.334,1469.434,13054.299,13068.666,2330.967,2331.034,3002.4,3003.1,NA,NA
104,988.234,991.867,1469.534,1480.267,13113.032,13119.266,2331.067,2331.1,3003.2,3012.134,NA,NA
105,994.267,994.4,1480.867,1488.3,13194.466,13208.499,2331.3,2356.267,3012.5,3019.567,NA,NA
106,994.434,994.5,1491.067,1492.534,13227.366,13343.499,2356.3,2356.367,3020.834,3024.234,NA,NA
