"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Center_start","Contact_Center_stop"
195,3838.716,3859.116,4528.116,4529.282,10074.115,10076.215,NA,NA,3570.216,3570.383,4181.982,4182.216,NA,NA
196,4012.582,4015.716,4529.316,4529.516,10110.415,10113.015,NA,NA,3571.083,3573.149,4183.749,4185.749,NA,NA
197,4018.149,4021.149,4529.582,4529.782,10193.382,10194.349,NA,NA,3573.283,3574.049,4270.616,4274.782,NA,NA
198,4037.616,4041.916,4530.482,4530.616,10404.949,10427.449,NA,NA,3575.216,3578.183,4385.249,4385.349,NA,NA
199,4052.849,4054.916,4530.649,4530.682,10427.849,10427.915,NA,NA,3578.449,3578.483,4385.482,4385.582,NA,NA
200,4087.516,4088.849,4530.849,4530.916,10510.982,10519.682,NA,NA,3578.616,3579.882,4385.816,4387.349,NA,NA
201,4094.882,4121.516,4532.182,4533.682,10533.315,10534.849,NA,NA,3580.149,3580.216,4389.849,4390.282,NA,NA
202,4282.249,4283.049,4539.549,4541.649,10534.915,10535.415,NA,NA,3657.882,3690.349,4391.249,4391.316,NA,NA
203,4284.316,4285.282,4541.749,4541.949,10535.715,10536.049,NA,NA,3739.682,3747.549,4391.482,4391.649,NA,NA
204,4285.682,4293.116,4542.216,4542.282,10549.549,10552.982,NA,NA,3919.316,3924.316,4405.816,4407.849,NA,NA
205,4297.549,4317.482,4542.316,4558.049,10570.349,10574.682,NA,NA,3927.682,3929.049,4415.349,4415.416,NA,NA
206,4317.516,4317.549,4558.249,4558.516,10576.382,10576.649,NA,NA,3929.649,3929.816,4429.749,4429.916,NA,NA
207,4317.582,4317.782,4558.582,4559.516,10577.182,10577.415,NA,NA,3930.049,3930.649,4479.949,4480.116,NA,NA
208,4317.816,4317.882,4637.949,4642.549,10586.615,10607.082,NA,NA,3944.816,3945.616,4561.316,4561.382,NA,NA
209,4317.949,4318.016,4642.716,4642.749,10607.982,10608.615,NA,NA,3945.749,3946.349,4561.482,4561.682,NA,NA
210,4318.182,4318.249,4643.149,4643.649,10614.449,10615.415,NA,NA,3946.382,3949.082,4567.216,4571.416,NA,NA
211,4319.882,4319.982,4644.316,4645.016,10616.482,10616.582,NA,NA,3951.816,3963.182,4571.616,4572.116,NA,NA
212,4320.216,4330.116,4645.082,4645.116,10616.615,10620.849,NA,NA,3963.249,3968.416,4572.682,4572.716,NA,NA
213,4330.582,4330.616,4645.182,4645.216,10622.649,10626.015,NA,NA,3968.549,4012.082,4572.749,4573.249,NA,NA
214,4335.849,4364.482,4645.482,4645.816,10627.349,10630.949,NA,NA,4061.282,4061.682,4573.282,4575.516,NA,NA
215,4364.616,4364.682,4646.016,4648.682,11040.248,11040.282,NA,NA,4062.782,4063.082,4575.782,4582.549,NA,NA
