"X1","Center_start","Center_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Center_start","Contact_Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
162,9922.732,9923.999,1229.933,1230.9,3450.633,3453.7,NA,NA,1293.667,1293.733,4276.466,4279.966,NA,NA
163,9983.499,9983.932,1257.133,1265.4,3455.867,3464.833,NA,NA,1297.7,1297.8,4360.699,4364.799,NA,NA
164,9984.632,9985.032,1266.6,1267.167,3466.433,3468.6,NA,NA,1305.067,1305.233,4393.333,4393.899,NA,NA
165,9989.599,9990.332,1270.133,1272.9,3472.667,3475.733,NA,NA,1312.367,1312.433,4442.166,4442.566,NA,NA
166,9991.799,9992.799,1281.567,1284.733,3491.333,3492.067,NA,NA,1312.5,1313.167,4477.066,4484.766,NA,NA
167,9999.666,10000.199,1284.867,1285.5,3495,3499.167,NA,NA,1431.167,1438.367,4491.499,4501.866,NA,NA
168,10156.599,10158.766,1291.467,1292.2,3501.667,3505.8,NA,NA,1438.567,1438.833,4833.799,4833.866,NA,NA
169,10175.566,10176.132,1292.933,1293.667,3507.867,3508.033,NA,NA,1447.833,1452.133,4833.899,4834.466,NA,NA
170,10213.399,10234.232,1293.733,1297.7,3508.6,3509.067,NA,NA,1452.433,1453.5,4835.066,4836.566,NA,NA
171,10265.532,10265.999,1297.8,1305.067,3512.233,3515.8,NA,NA,1457.267,1457.3,4837.999,4838.166,NA,NA
172,10286.499,10287.632,1305.233,1312.367,3516.2,3516.633,NA,NA,1457.467,1471.633,4838.233,4838.666,NA,NA
173,10289.732,10290.199,1312.433,1312.5,3516.733,3520.7,NA,NA,1515.7,1515.8,4847.033,4847.099,NA,NA
174,10333.032,10342.166,1313.167,1313.767,3525.533,3529.267,NA,NA,1515.833,1516.267,4850.533,4850.833,NA,NA
175,10344.699,10351.366,1430.6,1431.167,3715.499,3724.366,NA,NA,1517.4,1517.5,4851.233,4851.699,NA,NA
176,10390.966,10400.032,1438.367,1438.567,3725.999,3739.533,NA,NA,1517.533,1524.967,4851.899,4853.199,NA,NA
177,10404.132,10407.766,1438.833,1447.833,3739.799,3739.899,NA,NA,1582.033,1582.167,4854.333,4855.866,NA,NA
178,10441.566,10442.032,1452.133,1452.433,3767.633,3780.033,NA,NA,1582.267,1582.933,4857.199,4857.499,NA,NA
179,10451.966,10453.299,1453.5,1457.267,3926.299,3929.333,NA,NA,1598.233,1598.3,4866.433,4867.799,NA,NA
180,10454.432,10457.032,1457.3,1457.467,3933.899,3955.766,NA,NA,1598.4,1599.633,4887.333,4887.866,NA,NA
181,10460.166,10460.599,1471.633,1475.133,3955.899,3995.799,NA,NA,1600.433,1600.7,4911.966,4912.299,NA,NA
182,10530.499,10535.599,1511,1515.7,3998.466,4004.299,NA,NA,1601.433,1603.133,4912.433,4913.233,NA,NA
183,10537.966,10541.532,1515.8,1515.833,4007.199,4008.066,NA,NA,1638.433,1655.333,5676.299,5676.666,NA,NA
184,10554.599,10558.132,1516.267,1517.4,4008.233,4008.733,NA,NA,1655.767,1655.933,5678.966,5681.899,NA,NA
185,10567.532,10569.999,1517.5,1517.533,4012.099,4012.599,NA,NA,1656,1656.367,5682.399,5682.566,NA,NA
186,10570.199,10570.266,1524.967,1526,4012.633,4014.333,NA,NA,1656.467,1656.9,5682.799,5682.933,NA,NA
187,10570.399,10570.599,1574.633,1582.033,4014.566,4032.399,NA,NA,1657.1,1658.867,5685.566,5686.599,NA,NA
188,10574.466,10574.666,1582.167,1582.267,4032.499,4076.233,NA,NA,1659.167,1660.8,5687.099,5688.633,NA,NA
189,10575.732,10575.866,1582.933,1586.133,4079.499,4089.199,NA,NA,1661.6,1665.533,5707.299,5707.366,NA,NA
190,10579.666,10579.799,1594.1,1598.233,4089.466,4089.633,NA,NA,1668.233,1668.433,5707.399,5707.433,NA,NA
191,10579.999,10580.799,1598.3,1598.4,4090.766,4090.866,NA,NA,1671.367,1687.5,5707.566,5707.599,NA,NA
192,10581.132,10581.399,1599.633,1600.433,4090.899,4090.933,NA,NA,1860.067,1863.033,5709.799,5709.866,NA,NA
193,10587.332,10587.532,1600.7,1601.433,4096.266,4096.366,NA,NA,1863.133,1863.333,5709.999,5710.533,NA,NA
194,10588.266,10588.532,1603.133,1638.433,4096.433,4096.466,NA,NA,1863.533,1863.633,5710.766,5712.133,NA,NA
195,10592.066,10595.299,1655.333,1655.767,4096.499,4103.033,NA,NA,1863.667,1863.833,5719.599,5723.133,NA,NA
