"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
216,16050.831,16051.031,10727.598,10732.331,11715.065,11716.731,3374.166,3379.766,9710.831,9710.998,NA,NA
217,16051.097,16051.164,10829.465,10870.065,11716.998,11717.865,3390.633,3391.099,9711.298,9711.365,NA,NA
218,16051.364,16055.631,10872.998,10873.031,11720.398,11744.531,3396.366,3397.099,9711.431,9711.465,NA,NA
219,16144.797,16145.331,10876.565,10897.231,11764.065,11764.331,3400.299,3401.366,9711.731,9711.798,NA,NA
220,16184.264,16188.197,10897.465,10903.498,11765.065,11776.798,3401.433,3401.666,9711.831,9711.898,NA,NA
221,16213.897,16224.164,10915.431,10943.865,11777.465,11777.665,3402.733,3402.866,9712.265,9712.531,NA,NA
222,16246.264,16249.564,10950.131,10951.865,11777.731,11778.065,3437.666,3437.733,9712.631,9712.665,NA,NA
223,16249.764,16250.231,10954.865,10955.265,11778.731,11778.798,3444.599,3475.499,9713.065,9713.098,NA,NA
224,16284.664,16286.631,10958.131,10959.398,11779.398,11779.531,3610.099,3616.165,9713.298,9713.665,NA,NA
225,16286.997,16287.097,10959.998,10960.931,11804.898,11816.431,3617.765,3617.832,9713.965,9715.565,NA,NA
226,16429.197,16437.264,10962.665,10962.731,12071.731,12071.831,3621.899,3622.232,9715.698,9718.265,NA,NA
227,16437.331,16437.397,10962.865,10963.065,12071.931,12072.431,3623.565,3623.699,9901.431,9901.465,NA,NA
228,16477.797,16482.831,10963.798,10963.865,12082.598,12083.298,3631.765,3631.899,9901.498,9901.565,NA,NA
229,17104.897,17105.764,10965.731,10965.798,12083.365,12084.065,3683.732,3687.099,9901.831,9901.998,NA,NA
230,17142.597,17198.697,10966.731,10967.265,12084.598,12084.798,3687.399,3706.265,9902.031,9902.231,NA,NA
231,17210.464,17213.364,10969.065,10969.131,12084.865,12084.965,3713.265,3715.132,9902.398,9902.531,NA,NA
