"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
158,11294.432,11299.299,5263.866,5263.9,3290.3,3346.067,652.767,654.3,762.267,762.333,NA,NA,NA,NA
159,11299.832,11300.499,5345.666,5345.833,3388.267,3391.633,654.567,654.933,762.4,762.6,NA,NA,NA,NA
160,11306.532,11310.532,5346.933,5347.233,3391.667,3393.733,655,656.267,762.633,762.7,NA,NA,NA,NA
161,11347.566,11353.899,5358.133,5358.333,3393.8,3409.633,656.3,656.633,762.767,762.967,NA,NA,NA,NA
162,11414.966,11419.632,5358.966,5359.033,3584.7,3591.333,656.933,657.933,763.433,763.5,NA,NA,NA,NA
163,11523.332,11689.199,5364,5364.4,3591.466,3591.5,738.467,759.633,763.567,763.833,NA,NA,NA,NA
164,11710.199,11729.766,5371.5,5372,3591.566,3601.2,759.667,760.3,765.267,765.5,NA,NA,NA,NA
165,11846.366,11971.832,5374.266,5374.3,3602.133,3604.533,760.467,760.633,767.467,767.633,NA,NA,NA,NA
166,11971.866,11971.999,5434,5434.166,3604.6,3605.533,760.8,760.833,770.167,770.9,NA,NA,NA,NA
167,11972.066,11972.199,5434.733,5434.766,3606.566,3608.5,760.867,762,771.367,772.333,NA,NA,NA,NA
168,11972.332,11972.432,5436.633,5437.1,3608.766,3615.8,762.133,762.267,773.767,774,NA,NA,NA,NA
169,12068.166,12069.566,5437.3,5437.866,3667.033,3673.833,762.333,762.4,775.3,775.4,NA,NA,NA,NA
170,12106.666,12117.599,5438.033,5438.2,3674.033,3674.1,762.6,762.633,775.467,777.533,NA,NA,NA,NA
171,12119.466,12121.032,5438.6,5438.733,3674.3,3675.4,762.7,762.767,834.033,834.7,NA,NA,NA,NA
172,12163.366,12239.866,5444.033,5444.166,3675.8,3703.3,762.967,763.433,834.733,835.467,NA,NA,NA,NA
173,12328.999,12358.332,5446.566,5446.9,3735.7,3746.6,763.5,763.567,835.7,836.2,NA,NA,NA,NA
174,12376.566,12378.232,5447,5447.733,3746.9,3748.233,763.833,765.267,836.367,836.633,NA,NA,NA,NA
175,12472.732,12472.866,5448.833,5449.3,3748.733,3749.533,765.5,767.467,836.867,836.933,NA,NA,NA,NA
176,12472.999,12538.866,5485.9,5485.933,3750.1,3750.366,767.633,770.167,837.2,837.7,NA,NA,NA,NA
177,12550.332,12611.499,6926.233,6926.633,3750.633,3752.533,770.9,771.367,837.867,837.933,NA,NA,NA,NA
178,12641.599,12646.299,6926.899,6927.233,3836.866,3840.633,772.333,773.767,838.033,838.9,NA,NA,NA,NA
179,12646.732,12655.199,6943.066,6943.133,3841.033,3841.166,774,775.3,838.967,839.033,NA,NA,NA,NA
180,12828.499,12834.499,6950.533,6950.666,3841.266,3841.533,775.4,775.467,840.7,840.933,NA,NA,NA,NA
181,12834.699,12834.932,6955.966,6956.099,3841.766,3842.866,777.533,782.533,841.467,841.567,NA,NA,NA,NA
182,12840.499,12841.766,6956.633,6956.666,3843,3843.766,826.633,834.033,841.7,842,NA,NA,NA,NA
183,12888.232,13050.432,6956.733,6956.966,3843.933,3865.5,834.7,834.733,842.1,843.067,NA,NA,NA,NA
184,13064.399,13089.632,6959.799,6959.999,3865.533,3869.4,835.467,835.7,843.133,844.833,NA,NA,NA,NA
185,13249.832,13250.666,6967.066,6967.133,3869.466,3876.366,836.2,836.367,845.2,845.333,NA,NA,NA,NA
186,13251.532,13251.699,6967.899,6968.099,3882.033,3889.533,836.633,836.867,845.5,846.9,NA,NA,NA,NA
187,13413.066,13415.432,6968.899,6969.033,3949.833,3952.566,836.933,837.2,847.467,847.9,NA,NA,NA,NA
188,13486.799,13567.099,6970.099,6970.299,3953.533,3954.033,837.7,837.867,848.067,848.2,NA,NA,NA,NA
189,13603.532,13603.566,6970.366,6971.233,3954.266,3964.533,837.933,838.033,848.467,849.467,NA,NA,NA,NA
190,13603.732,13605.466,9878.533,9878.566,4037.766,4039.1,838.9,838.967,849.733,849.833,NA,NA,NA,NA
191,13610.999,13611.166,9883.266,9883.633,4039.2,4039.266,839.033,840.7,849.933,850.167,NA,NA,NA,NA
192,13611.566,13613.599,9885.833,9885.966,4039.7,4040.133,840.933,841.467,850.3,850.567,NA,NA,NA,NA
193,13686.832,13720.399,9890.799,9891.733,4040.333,4040.533,841.567,841.7,850.8,850.833,NA,NA,NA,NA
194,13786.866,14291.999,9891.799,9891.866,4042.4,4061.433,842,842.1,850.867,850.967,NA,NA,NA,NA
195,14291.999,16031.265,9891.933,9892.066,4196.7,4200.533,843.067,843.133,851.133,851.3,NA,NA,NA,NA
196,16054.232,16073.832,9892.733,9892.799,4200.633,4202.133,844.833,845.2,852.8,852.833,NA,NA,NA,NA
197,16073.965,16074.099,9893.466,9893.999,4218.466,4219.166,845.333,845.5,852.867,852.933,NA,NA,NA,NA
198,16075.599,16076.199,10525.566,10525.599,4219.2,4219.933,846.9,847.467,854.067,854.167,NA,NA,NA,NA
199,16106.132,17887.965,10554.966,10555.066,4222.8,4253.3,847.9,848.067,854.3,854.4,NA,NA,NA,NA
200,17889.499,17893.932,10566.033,10566.166,4447.333,4453.566,848.2,848.467,854.433,854.567,NA,NA,NA,NA
201,17893.932,18009.365,10578.933,10578.966,4467.733,4468.066,849.467,849.733,854.667,855.467,NA,NA,NA,NA
202,18179.065,18185.532,10598.833,10598.899,4468.2,4468.233,849.833,849.933,855.833,856.167,NA,NA,NA,NA
